packet size: 512bytes
number of packets: 16.0
signal frequency: 40
sample frequency: 80.0
force units: N, moment units: Nm
Counter: 144.0     , Fx: -0.13     ,Fy: 0.0       , Fz: -0.39     , Mx: -0.0016   ,My: 0.0       ,Mz: 0.0       ,
Counter: 145.0     , Fx: 0.14      ,Fy: -0.04     , Fz: 1.12      , Mx: 0.0016    ,My: -0.0024   ,Mz: -0.001    ,
Counter: 146.0     , Fx: -0.07     ,Fy: 0.02      , Fz: -0.63     , Mx: -0.0024   ,My: -0.0032   ,Mz: 0.0021    ,
Counter: 147.0     , Fx: -0.16     ,Fy: 0.07      , Fz: 0.44      , Mx: -0.0008   ,My: 0.0016    ,Mz: -0.0052   ,
Counter: 148.0     , Fx: 0.29      ,Fy: 0.09      , Fz: 0.58      , Mx: -0.0008   ,My: -0.0056   ,Mz: -0.0031   ,
Counter: 149.0     , Fx: 0.26      ,Fy: -0.11     , Fz: 0.15      , Mx: 0.0       ,My: -0.0024   ,Mz: -0.001    ,
Counter: 150.0     , Fx: -0.03     ,Fy: -0.03     , Fz: -0.63     , Mx: -0.0032   ,My: -0.0016   ,Mz: -0.0021   ,
Counter: 151.0     , Fx: -0.1      ,Fy: -0.05     , Fz: 0.44      , Mx: -0.0008   ,My: -0.0024   ,Mz: 0.0       ,
Counter: 152.0     , Fx: 0.11      ,Fy: -0.16     , Fz: -0.39     , Mx: -0.0024   ,My: -0.0024   ,Mz: 0.0021    ,
Counter: 153.0     , Fx: -0.21     ,Fy: -0.08     , Fz: 0.19      , Mx: 0.0024    ,My: -0.0024   ,Mz: -0.001    ,
Counter: 154.0     , Fx: 0.06      ,Fy: 0.08      , Fz: 1.02      , Mx: -0.004    ,My: 0.0008    ,Mz: 0.0021    ,
Counter: 155.0     , Fx: -0.06     ,Fy: -0.23     , Fz: -0.1      , Mx: 0.0008    ,My: -0.0008   ,Mz: 0.0021    ,
Counter: 156.0     , Fx: -0.13     ,Fy: -0.22     , Fz: 0.19      , Mx: 0.0016    ,My: -0.0008   ,Mz: -0.001    ,
Counter: 157.0     , Fx: 0.17      ,Fy: 0.08      , Fz: -0.24     , Mx: -0.004    ,My: 0.0024    ,Mz: 0.0031    ,
Counter: 158.0     , Fx: -0.06     ,Fy: -0.04     , Fz: 0.05      , Mx: -0.0008   ,My: 0.0024    ,Mz: 0.0       ,
Counter: 159.0     , Fx: -0.29     ,Fy: 0.02      , Fz: 0.29      , Mx: 0.0032    ,My: -0.0016   ,Mz: 0.0021    ,
Counter: 160.0     , Fx: -0.1      ,Fy: -0.12     , Fz: 0.19      , Mx: -0.0008   ,My: -0.0008   ,Mz: -0.0021   ,
Counter: 161.0     , Fx: -0.12     ,Fy: 0.13      , Fz: 0.97      , Mx: -0.0024   ,My: 0.0       ,Mz: -0.0052   ,
Counter: 162.0     , Fx: 0.17      ,Fy: -0.05     , Fz: 0.19      , Mx: -0.004    ,My: 0.0008    ,Mz: -0.0031   ,
Counter: 163.0     , Fx: 0.22      ,Fy: -0.2      , Fz: 0.0       , Mx: 0.0       ,My: 0.0024    ,Mz: -0.0021   ,
Counter: 164.0     , Fx: -0.36     ,Fy: 0.0       , Fz: -0.78     , Mx: 0.0008    ,My: 0.0016    ,Mz: -0.001    ,
Counter: 165.0     , Fx: 0.0       ,Fy: 0.09      , Fz: 0.39      , Mx: -0.0048   ,My: -0.0008   ,Mz: -0.001    ,
